"Day ","Location ","Product ","Unit Sold ","Revenue ","COGS "
"73","New York","Mouthwash","737","79596","5653.00"
"73","New York","Body Wash  ","333","40293","2096.00"
"73","New York","Shampoo","360","41400","3665.00"
"72","Los Angeles","Mouthwash","558","18414","4280.00"
"72","Los Angeles","Body Wash  ","505","18180","3179.00"
"72","Los Angeles","Shampoo","756","30240","7696.00"
"72","New York","Mouthwash","676","73008","5185.00"
"72","New York","Body Wash  ","326","39446","2052.00"
"72","New York","Shampoo","365","41975","3716.00"
"71","Los Angeles","Mouthwash","541","17853","4150.00"
"71","Los Angeles","Body Wash  ","453","16308","2852.00"
"71","Los Angeles","Shampoo","748","29920","7615.00"
"71","New York","Mouthwash","709","76572","5438.00"
"71","New York","Body Wash  ","367","44407","2310.00"
"71","New York","Shampoo","327","37605","3329.00"
"70","Los Angeles","Mouthwash","576","19008","4418.00"
"70","Los Angeles","Body Wash  ","464","16704","2921.00"
"70","Los Angeles","Shampoo","768","30720","7818.00"
"70","New York","Mouthwash","680","73440","5216.00"
"70","New York","Body Wash  ","347","41987","2184.00"
"70","New York","Shampoo","376","43240","3828.00"
"69","Los Angeles","Mouthwash","568","18744","4236.00"
"69","Los Angeles","Body Wash  ","482","17352","3034.00"
"69","Los Angeles","Shampoo","810","32400","7863.00"
"69","New York","Mouthwash","723","78084","5391.00"
"69","New York","Body Wash  ","332","40172","2090.00"
"69","New York","Shampoo","328","37720","3184.00"
"68","Los Angeles","Mouthwash","501","16533","3736.00"
"68","Los Angeles","Body Wash  ","468","16848","2946.00"
"68","Los Angeles","Shampoo","824","32960","7999.00"
"68","New York","Mouthwash","770","83160","5742.00"
"68","New York","Body Wash  ","397","48037","2499.00"
"68","New York","Shampoo","397","45655","3854.00"
"67","Los Angeles","Mouthwash","571","18843","4258.00"
"67","Los Angeles","Body Wash  ","450","16200","2896.00"
"67","Los Angeles","Shampoo","855","34200","8300.00"
"67","New York","Mouthwash","697","75276","5198.00"
"67","New York","Body Wash  ","348","42108","2240.00"
"67","New York","Shampoo","412","47380","3999.00"
"66","Los Angeles","Mouthwash","549","18117","4094.00"
"66","Los Angeles","Body Wash  ","449","16164","2890.00"
"66","Los Angeles","Shampoo","745","29800","7232.00"
"66","New York","Mouthwash","685","73980","5108.00"
"66","New York","Body Wash  ","393","47553","2530.00"
"66","New York","Shampoo","397","45655","3854.00"
"65","Los Angeles","Mouthwash","357","11781","2662.00"
"65","Los Angeles","Body Wash  ","414","14904","2665.00"
"65","Los Angeles","Shampoo","810","32400","7863.00"
"65","New York","Mouthwash","725","78300","5406.00"
"65","New York","Body Wash  ","385","46585","2478.00"
"65","New York","Shampoo","339","38985","3291.00"
"64","Los Angeles","Mouthwash","391","12903","2916.00"
"64","Los Angeles","Body Wash  ","341","12276","2195.00"
"64","Los Angeles","Shampoo","609","24360","5912.00"
"64","New York","Mouthwash","537","57996","4004.00"
"64","New York","Body Wash  ","347","41987","2233.00"
"64","New York","Shampoo","428","49220","4155.00"
"63","Los Angeles","Mouthwash","366","12078","2729.00"
"63","Los Angeles","Body Wash  ","388","13968","2497.00"
"63","Los Angeles","Shampoo","863","34520","8377.00"
"63","New York","Mouthwash","846","91368","6309.00"
"63","New York","Body Wash  ","338","40898","2176.00"
"63","New York","Shampoo","400","46000","3883.00"
"62","Los Angeles","Mouthwash","379","12507","2826.00"
"62","Los Angeles","Body Wash  ","386","13896","2484.00"
"62","Los Angeles","Shampoo","639","25560","6211.00"
"62","New York","Mouthwash","789","85212","5884.00"
"62","New York","Body Wash  ","382","46222","2459.00"
"62","New York","Shampoo","345","39675","3353.00"
"61","Los Angeles","Mouthwash","394","13002","2947.00"
"61","Los Angeles","Body Wash  ","350","12600","2253.00"
"61","Los Angeles","Shampoo","565","22600","5494.00"
"61","New York","Mouthwash","690","74520","5161.00"
"61","New York","Body Wash  ","463","56023","2980.00"
"61","New York","Shampoo","462","53130","4492.00"
"60","Los Angeles","Mouthwash","395","13035","2954.00"
"60","Los Angeles","Body Wash  ","323","11628","2146.00"
"60","Los Angeles","Shampoo","815","32600","7925.00"
"60","New York","Mouthwash","841","90828","6290.00"
"60","New York","Body Wash  ","502","60742","3335.00"
"60","New York","Shampoo","543","62445","5280.00"
"59","Los Angeles","Mouthwash","354","11682","2648.00"
"59","Los Angeles","Body Wash  ","330","11880","2273.00"
"59","Los Angeles","Shampoo","808","32320","7902.00"
"59","New York","Mouthwash","950","102600","7105.00"
"59","New York","Body Wash  ","452","54692","3114.00"
"59","New York","Shampoo","520","59800","5085.00"
"58","Los Angeles","Mouthwash","874","28842","7034.00"
"58","Los Angeles","Body Wash  ","983","35388","6956.00"
"58","Los Angeles","Shampoo","933","37320","10879.00"
"58","New York","Mouthwash","1077","116316","8668.00"
"58","New York","Body Wash  ","573","69333","4054.00"
"58","New York","Shampoo","721","82915","8407.00"
"57","Los Angeles","Mouthwash","1055","34815","12751.00"
"57","Los Angeles","Body Wash  ","770","27720","6773.00"
"57","Los Angeles","Shampoo","1135","45400","18386.00"
"57","New York","Mouthwash","1457","123845","17609.00"
"57","New York","Body Wash  ","776","63632","6826.00"
"57","New York","Shampoo","781","70290","12652.00"
"56","Los Angeles","Mouthwash","844","27852","10201.00"
"56","Los Angeles","Body Wash  ","867","31212","8170.00"
"56","Los Angeles","Shampoo","1203","48120","19488.00"
"56","New York","Mouthwash","1596","135660","19289.00"
"56","New York","Body Wash  ","1113","91266","10488.00"
"56","New York","Shampoo","876","78840","14191.00"
"55","Los Angeles","Mouthwash","776","25608","9858.00"
"55","Los Angeles","Body Wash  ","757","27252","8115.00"
"55","Los Angeles","Shampoo","1073","42920","17382.00"
"55","New York","Mouthwash","1468","124780","18649.00"
"55","New York","Body Wash  ","1103","90446","11824.00"
"55","New York","Shampoo","934","84060","15130.00"
"54","Los Angeles","Mouthwash","414","13662","5259.00"
"54","Los Angeles","Body Wash  ","356","12816","4792.00"
"54","Los Angeles","Shampoo","548","21920","8877.00"
"54","New York","Mouthwash","944","80240","11992.00"
"54","New York","Body Wash  ","725","59450","9758.00"
"54","New York","Shampoo","613","55170","9930.00"
"53","Los Angeles","Mouthwash","396","13068","5031.00"
"53","Los Angeles","Body Wash  ","357","12852","4805.00"
"53","Los Angeles","Shampoo","654","26160","10594.00"
"53","New York","Mouthwash","1199","101915","15232.00"
"53","New York","Body Wash  ","806","66092","10848.00"
"53","New York","Shampoo","603","54270","9768.00"
"52","Los Angeles","Mouthwash","427","14091","5424.00"
"52","Los Angeles","Body Wash  ","328","11808","4415.00"
"52","Los Angeles","Shampoo","659","26360","10769.00"
"52","New York","Mouthwash","1073","91205","13631.00"
"52","New York","Body Wash  ","785","64370","10566.00"
"52","New York","Shampoo","587","52830","9592.00"
"51","Los Angeles","Mouthwash","391","12903","4967.00"
"51","Los Angeles","Body Wash  ","327","11772","4401.00"
"51","Los Angeles","Shampoo","654","26160","10687.00"
"51","New York","Mouthwash","1102","93670","13999.00"
"51","New York","Body Wash  ","811","66502","10916.00"
"51","New York","Shampoo","703","63270","11488.00"
"50","Los Angeles","Mouthwash","422","13926","5604.00"
"50","Los Angeles","Body Wash  ","344","12384","4610.00"
"50","Los Angeles","Shampoo","872","34880","14126.00"
"50","New York","Mouthwash","1011","85935","13425.00"
"50","New York","Body Wash  ","841","68962","11271.00"
"50","New York","Shampoo","651","58590","10546.00"
"49","Los Angeles","Mouthwash","466","15378","6188.00"
"49","Los Angeles","Body Wash  ","373","13428","5009.00"
